Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
AND,Z-PAGE,25,3,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_and,le,,,nz
AND,"Z-PAGE,X",35,4,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_and,le,,,nz
ASL,ABS,0E,6,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_asl,,,,nzc
,,,,,,,,,,,,,5,,dint16,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ASL,"ABS,X",1E,7,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_asl,,,,nzc
,,,,,,,,,,,,,5,,dint16_x,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ASL,ACC,0A,2,2,1,N,,,,,Z,C,0,done,,,,,,,,,,a_reg,,bit_asl,le,,,nzc
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ASL,Z-PAGE,06,5,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_asl,,,,nzc
,,,,,,,,,,,,,4,,dint1_z,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
ASL,"Z-PAGE,X",16,6,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_asl,,,,nzc
,,,,,,,,,,,,,4,,dint1_zx,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,
BCC,REL,90,2,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,,,,,,,,bcc
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
BCS,REL,B0,2,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,,,,,,,,bcs
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
BEQ,REL,F0,2,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,,,,,,,,beq
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
BIT,ABS,2C,4,5,3,N,V,,,,Z,,0,,pc_p,en,read,,,,,inc
,,,,,,,,,,,,,1,,,en,,,din,,,inc
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,bit_and,,,,bit
BIT,Z-PAGE,24,3,4,2,N,V,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_and,,,,bit
BMI,REL,30,2,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,bmi,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
BNE,REL,D0,2,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,bne,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
BPL,REL,10,2,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,bpl,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
BRK,IMP,00,7,8,1,,,B,,I,,,0,,v_irq1,,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,v_irq2,en,read,,,,,,,,,,,,,SetB
,,,,,,,,,,,,,2,,sp,en,,pch,din,,,,push,,,,,,,
,,,,,,,,,,,,,3,,sp,,,pcl,,,,split,push,,,,,,,
,,,,,,,,,,,,,4,,sp,,,p_reg,,,,,push,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
BVC,REL,50,2,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,bvc,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
BVS,REL,70,2,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,bvs,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
